model,n_agents,runtime,avg_evacuation_time,max_evacuation_time,max_density,evacuation_rate,frames_run,fps,experiment,avg_tracked_agents,tracked_ratio,n_particles,avg_rmse,final_rmse,run_id
Pure Perlin,100,0.13029146194458008,8.610000000000001,8.715000000000002,565.8842421045167,0.02,250,1918.7750008234489,scalability,,,,,,
Hybrid Adaptive,100,0.14287447929382324,8.281000000000002,8.715000000000002,565.8842421045167,0.15,250,1749.7876544198753,scalability,34.428,0.34428,,,,
Pure Perlin,200,0.15316104888916016,8.456,8.610000000000001,1018.5916357881301,0.025,250,1632.2687903562244,scalability,,,,,,
Hybrid Adaptive,200,0.16532683372497559,8.226999999999999,8.715000000000002,1032.7387418407432,0.175,250,1512.1562203016595,scalability,70.128,0.35064,,,,
Pure Perlin,300,0.17106294631958008,8.386875,8.610000000000001,1443.0048173665177,0.02666666666666667,250,1461.4503338025618,scalability,,,,,,
Hybrid Adaptive,300,0.18931221961975098,8.194200000000002,8.715000000000002,1499.5932415769694,0.16666666666666666,250,1320.569799995718,scalability,103.072,0.34357333333333334,,,,
Pure Perlin,400,0.19231367111206055,8.565000000000001,8.715000000000002,2051.330377628873,0.0175,250,1299.9595845389786,scalability,,,,,,
Hybrid Adaptive,400,0.2099614143371582,8.251376811594204,8.715000000000002,2023.0361655236475,0.1725,250,1190.6949702603329,scalability,138.524,0.34631,,,,
Pure Perlin,500,0.20703816413879395,8.46125,8.715000000000002,2574.773301575551,0.032,250,1207.5068431944044,scalability,,,,,,
Hybrid Adaptive,500,0.23297715187072754,8.191666666666666,8.715000000000002,2702.0972560490673,0.168,250,1073.0665989887195,scalability,168.024,0.336048,,,,
Particle Filter,50,0.42520785331726074,7.000000000000001,7.000000000000001,311.23633315748424,0.0,200,470.35819879548137,particle_filter,,,100.0,0.24036463142603107,0.23538269892070637,
Particle Filter,500,6.640717029571533,7.000000000000001,7.000000000000001,3027.480695259165,0.0,200,30.117229677064593,particle_filter_large,,,500.0,0.2662182590634192,0.26004452587165433,
Pure Perlin,300,0.21416592597961426,9.713472222222224,10.465000000000002,1485.4461355243566,0.24,300,1400.7830546702187,evacuation_test,,,,,,
Hybrid Adaptive,300,0.25040507316589355,9.015040322580647,10.430000000000001,1584.4758778926468,0.41333333333333333,300,1198.0587941253482,evacuation_test,94.3,0.3143333333333333,,,,
Pure Perlin,200,0.16002798080444336,8.316,8.540000000000001,1004.4445297355172,0.025,250,1562.2267977342276,statistical,,,,,,0.0
Hybrid Adaptive,200,0.1728191375732422,8.161086956521743,8.715000000000002,1061.032953945969,0.23,250,1446.599048638626,statistical,70.704,0.35351999999999995,,,,0.0
Pure Perlin,200,0.16001105308532715,8.465,8.680000000000001,1230.798226577324,0.035,250,1562.3920671697945,statistical,,,,,,1.0
Hybrid Adaptive,200,0.17099404335021973,8.1528125,8.575000000000001,1287.3866507877756,0.16,250,1462.0392330741313,statistical,67.096,0.33548,,,,1.0
Pure Perlin,200,0.16911625862121582,8.47,8.47,1046.885847893356,0.005,250,1478.2730060268566,statistical,,,,,,2.0
Hybrid Adaptive,200,0.16944217681884766,8.267,8.680000000000001,1103.4742721038076,0.15,250,1475.4295813094843,statistical,68.656,0.34328000000000003,,,,2.0
Pure Perlin,200,0.15897536277770996,8.5225,8.715000000000002,1131.7684842090334,0.01,250,1572.5707155615478,statistical,,,,,,3.0
Hybrid Adaptive,200,0.17170476913452148,8.351451612903228,8.715000000000002,1216.651120524711,0.155,250,1455.987514267227,statistical,67.78,0.3389,,,,3.0
Pure Perlin,200,0.15522050857543945,8.75,8.75,1004.4445297355172,0.0,250,1610.6119113667014,statistical,,,,,,4.0
Hybrid Adaptive,200,0.17130255699157715,8.323225806451614,8.715000000000002,1089.3271660511948,0.155,250,1459.4061197363935,statistical,67.736,0.33868000000000004,,,,4.0
